"","1972-02-12 07:00:00","1972-02-13 07:00:00","1972-02-14 07:00:00","1972-02-15 07:00:00","1972-02-16 07:00:00","1972-02-17 07:00:00","1972-02-18 07:00:00","1972-02-19 07:00:00","1972-02-20 07:00:00","1972-02-21 07:00:00","1972-02-22 07:00:00","1972-02-23 07:00:00","1972-02-24 07:00:00","1972-02-25 07:00:00","1972-02-26 07:00:00","1972-02-27 07:00:00","1972-02-28 07:00:00","1972-02-29 07:00:00","1972-03-01 07:00:00","1972-03-02 07:00:00","1972-03-03 07:00:00"
"T+28",0.0498234891530274,0.0535778040809433,0.0523542393051002,0.0512193835587914,0.0565622964173105,0.0568439763362669,0.0551725752821066,0.0552799429472395,0.0538705158444303,0.0531830842614028,0.054107244210872,0.0527925716630381,0.0515326068396326,0.0510461527443704,0.051964047093995,0.0516981552943977,0.0506462183030162,0.0500934632817272,0.0491638702007961,0.0501114887864619,0.0560514044377997
"T+29",0.0500377421222447,0.0536942076810352,0.0525016924829763,0.0513963423885586,0.0566059775796851,0.0568809975943654,0.0552496142033414,0.0553543742540578,0.0539796031532886,0.0533094210593211,0.0542104450629475,0.052928813266679,0.0517013514096368,0.0512276782395863,0.0521215659750549,0.0518625803844593,0.0508383523254618,0.0503004133908771,0.0493961548181324,0.0503179528709372,0.0561072506900619
"T+30",0.0502461958872438,0.053807696751028,0.0526453629102209,0.0515686537482662,0.0566486237837353,0.0569171460043576,0.0553247815689219,0.0554270009203385,0.0540859745433558,0.0534325700813326,0.0543110881862953,0.0530615904347886,0.051865693255321,0.0514044188330375,0.0522750115676876,0.0520227301954065,0.0510253783632586,0.050501795179752,0.0496220586130964,0.0505188639069089,0.0561617617067381
"T+31",0.0504490340102247,0.0539183506769877,0.0527853586039763,0.0517364564963653,0.0566902603265112,0.0569524426944904,0.0553981254322666,0.0554978691021174,0.0541897031778651,0.053552619473092,0.0544092418743464,0.0531910004168132,0.0520257622695678,0.051576518499577,0.0524245019917059,0.0521787300255023,0.0512074526516584,0.0506977829164032,0.0498417893002075,0.0507143955535514,0.056214970712242
"T+32",0.0506464326505652,0.0540262463431434,0.0529217838922495,0.0518998843816803,0.0567309118494216,0.0569869082553814,0.0554696924828689,0.055567023654543,0.0542908599582286,0.0536696545293811,0.0545049723418225,0.0533171372351273,0.0521816836628927,0.0517441158555338,0.0525701512279653,0.0523307007051325,0.051384725456334,0.0508885439642664,0.0500555458468935,0.0509047145976811,0.0562669100406732
"T+33",0.0508385609625261,0.0541314582291868,0.0530547395742701,0.0520590662883126,0.0567706023570449,0.0570205627549624,0.055539528091682,0.0556345081746894,0.0543895136096057,0.0537837578091179,0.0545983438016157,0.0534400918199278,0.0523335781820005,0.0519073444192985,0.0527120693045249,0.052478758802422,0.0515573413734515,0.0510742391451763,0.0502635189684448,0.0510899813145515,0.0563176111628315
"T+34",0.0510255814652027,0.0542340585027724,0.0531843230718861,0.0522141264653512,0.05680935523531,0.0570534257529455,0.0556076763546489,0.0557003650426451,0.0544857307623826,0.0538950092444493,0.0546894185380902,0.0535599521369072,0.0524815623151581,0.0520663328554958,0.052850362472012,0.0526230168166318,0.0517254396101805,0.0512550230775997,0.0504658915865687,0.0512703498040553,0.0563671047122542
"T+35",0.0512076503871033,0.0543341171075083,0.0533106285726203,0.0523651847425555,0.0568471932690747,0.0570855163148314,0.0556741801344715,0.0557646354609609,0.0545795760298044,0.0540034862443046,0.0547782569770141,0.0536768033081845,0.0526257484853659,0.0522212052040216,0.0529851333689689,0.0527635833602355,0.0518891542472163,0.0514310444921683,0.0506628392548306,0.0514459683043945,0.0564154205103197
"T+36",0.0513849179874992,0.0544317018467138,0.0534337471649552,0.0525123567330698,0.0568841386591252,0.057116853025477,0.0557390811007053,0.0558273594925392,0.0546711120819868,0.0541092637927588,0.0548649177523114,0.0537907277269374,0.0527662452322258,0.0523720810951028,0.0531164811778878,0.0529005633304965,0.0520486144847363,0.0516024465263899,0.0508545305539201,0.0516169794850824,0.0564625875904566
"T+37",0.0515575288564743,0.054526878463195,0.0535537669663714,0.0526557540241331,0.0569202130386184,0.057147454002238,0.055802419768264,0.0558885760970406,0.0547603997165155,0.0542124145425295,0.0549494577698157,0.0539018051661406,0.0529031573833237,0.0525190759514354,0.0532445017725868,0.0530340580712944,0.0522039448730844,0.0517693670002318,0.0510411274593735,0.0517835207209552,0.0565086342215001
"T+38",0.0517256221954142,0.0546197107152739,0.0536707732446193,0.0527954843566648,0.0569554374889908,0.057177336907703,0.0558642355344107,0.0559483231658782,0.0548474979258286,0.0543130089039051,0.0550319322681908,0.0540101128817885,0.0530365862158769,0.0526623011783608,0.0533692878575194,0.0531641655258882,0.0523552655293515,0.0519319386741072,0.0512227856841139,0.0519457243487115,0.0565535879302287
"T+39",0.0518893320795098,0.054710260449289,0.05378484853267,0.0529316517945287,0.0569898325553534,0.0572065189620341,0.0559245667143101,0.0560066375558683,0.0549324639615655,0.0544111151293824,0.0551123948771763,0.0541157257109482,0.0531666296093283,0.0528018643429567,0.0534909290995675,0.0532909803812449,0.0525026923409213,0.0520902894906532,0.0513996549979326,0.0521037179073565,0.0565974755231196
"T+40",0.0520487877036966,0.0547985876687715,0.0538960727377516,0.0530643568842115,0.0570234182613929,0.0572350169549278,0.0559834505752089,0.0560635551215999,0.0550153533960497,0.0545067993942703,0.0551908976733015,0.0542187161649646,0.0532933821895201,0.0529378693428415,0.05360951225282,0.0534145942045104,0.0526463371569499,0.0522445428015567,0.0515718795258238,0.0522576243637964,0.0566403231073528
"T+41",0.0522041136133221,0.0548847506004851,0.0540045232448517,0.0531936968055866,0.0570562141237984,0.0572628472572111,0.0560409233693115,0.0561191107465838,0.0550962201810652,0.0546001258734983,0.055267491233206,0.0543191545181158,0.0534169354650187,0.0530704165654262,0.0537251212767999,0.0535350955721548,0.0527863079686652,0.052394817580572,0.0517395980268991,0.0524075623247183,0.0566821561110975
"T+42",0.0523554299207121,0.0549688057575066,0.0541102750150315,0.0533197655143815,0.0570882391662309,0.0572900258320849,0.0560970203654111,0.0561733383732371,0.0551751167040728,0.0546911568148513,0.0553422246846935,0.054417108891993,0.0535373779561245,0.0531996030382805,0.0538378374485669,0.0536525701922779,0.0529227090792935,0.0525412286237685,0.0519029441554397,0.0525536462357851,0.0567229993031094
"T+43",0.0525028525087023,0.0550508079995118,0.0542134006788774,0.0534426538769143,0.0571195119328535,0.0573165682460273,0.0561517758793333,0.0562262710317565,0.0552520938420067,0.0547799526088375,0.055415145755637,0.0545126453358631,0.0536547953170505,0.0533255225712308,0.0539477394690895,0.0537671010205255,0.0530556412643537,0.0526838867379566,0.0520620467055006,0.0526959865690856,0.0567628768116668
"T+44",0.0526464932221052,0.0551308105904197,0.0543139706253862,0.0535624497976198,0.0571500505014385,0.0573424896793699,0.0562052233032492,0.0562779408679319,0.0553272010127776,0.0548665718553818,0.0554863008208501,0.054605827903249,0.0537692704517204,0.0534482658907516,0.0540549035642506,0.0538787683700311,0.0531852019229937,0.0528228989181547,0.0522170298403441,0.0528346899996967,0.0568018121428744
"T+45",0.0527864600479978,0.0552088652535386,0.0544120530865625,0.0536792383398429,0.0571798724960672,0.0573678049365577,0.0562573951339069,0.056328379169946,0.0554004862246057,0.0549510714275222,0.0555557349470256,0.0546967187249507,0.0538808836235992,0.0535679207671696,0.0541594035808211,0.0539876500157634,0.0533114852209916,0.0529583685148867,0.0523680133078672,0.052969859572141,0.0568398281983573
"T+46",0.0529228572856371,0.0552850222243489,0.0545077142179844,0.0537931018403422,0.057208995099437,0.0573925284561043,0.056308322999832,0.056377616394207,0.0554719961232957,0.0550335065322779,0.0556234919358431,0.0547853780787112,0.0539897125599372,0.0536845721351568,0.0542613110777149,0.0540938212936356,0.0534345822259891,0.0530903953920322,0.0525151126430797,0.0531015948574558,0.0568769472923727
"T+47",0.053055785706744,0.0553593303010471,0.0546010181755766,0.0539041200179082,0.0572374350647909,0.0574166743202517,0.0563580376875422,0.0564256821902558,0.05554177603756,0.0551139307688444,0.055689614365335,0.0548718644557184,0.0540958325507818,0.0537983022079526,0.0543606954128115,0.0541973551947001,0.0535545810354815,0.0532190760758896,0.0526584393585946,0.0532299921015294,0.0569131911683601
"T+48",0.0531853427068303,0.0554318368929689,0.0546920271888114,0.0540123700764736,0.0572652087274823,0.0574402562643469,0.0564065691668202,0.0564726054247884,0.0556098700224898,0.0551923961842597,0.0557541436295999,0.054956234624123,0.0541993165430812,0.0539091905857198,0.0544576238256144,0.0542983224547338,0.0536715668980451,0.0533445038960593,0.0527981011240111,0.0533551443653077,0.0569485810149532
"T+49",0.053311622448191,0.0555025880670022,0.0547808016305453,0.05411792680306,0.0572923320161885,0.0574632876859437,0.0564539466150859,0.0565184142048323,0.0556763209012679,0.0552689533266804,0.0558171199769436,0.0550385436897358,0.0543002352301838,0.0540173143584074,0.0545521615159936,0.0543967916394915,0.0537856223282453,0.0534667691187037,0.0529342019349897,0.053477141657422,0.0569831374814744
"T+50",0.0534347159951295,0.0555716285920913,0.054867400083682,0.054220862660885,0.0573188204637862,0.0574857816536388,0.0565001984409071,0.0565631359001123,0.0557411703052108,0.0553436512963921,0.0558785825465248,0.055118845154062,0.0543986571370113,0.0541227482034675,0.0546443717192409,0.0544928292258902,0.0538968272156346,0.0535859590726939,0.0530668422727559,0.0535960710597474,0.0570168806929311
"T+51",0.05355471144194,0.0556390019819323,0.054951879404841,0.0543212478779233,0.0573446892178998,0.0575077509156522,0.0565453523066859,0.056606797164641,0.0558044587122224,0.0554165377946751,0.0559385694035779,0.0551971909698165,0.0544946487011669,0.0542255644787445,0.0547343157776542,0.0545864996793624,0.0540052589282173,0.0537021582691167,0.0531961192547003,0.053712016846359,0.0570498302645348
"T+52",0.0536716940341274,0.0557047505359472,0.0550342947851994,0.0544191505312007,0.0573699530511343,0.0575292079081597,0.0565894351505551,0.0566494239575657,0.0558662254837375,0.0554876591706366,0.0559971175732808,0.0552736315940549,0.0545882743502181,0.0543258333108341,0.0548220532088493,0.0546778655276058,0.05411099241073,0.0538154485145734,0.0533221267766953,0.0538250605963155,0.0570820053157584
"T+53",0.0537857462833088,0.0557689153786247,0.055114699808661,0.054514636627073,0.0573946263710051,0.0575501647633865,0.05663247320752,0.0566910415633037,0.0559265089002277,0.0555570604661136,0.0560542630733314,0.0553482160390487,0.0546795965753786,0.0544236226791847,0.0549076417709837,0.0547669874309352,0.05421410027806,0.0539259090186716,0.0534449556476888,0.0539352813006699,0.0571134244839519
"T+54",0.0538969480762055,0.0558315364973076,0.0551931465074996,0.05460777017773,0.0574187232295731,0.0575706333174687,0.0566744920298745,0.0567316746109948,0.0559853461953387,0.0556247854587456,0.0561100409452939,0.0554209919210214,0.0547686760017974,0.0545189984961974,0.0549911375250677,0.0548539242494326,0.0543146529041009,0.0540336164960798,0.0535646937170989,0.0540427554640719,0.0571441059375313
"T+55",0.0540053767781013,0.0558926527785008,0.0552696854156118,0.0546986132741432,0.0574422573327971,0.0575906251180917,0.056715516506924,0.0567713470932992,0.0560427735887245,0.055690876703308,0.0561644852847716,0.0554920055068586,0.0548555714556489,0.0546120246835601,0.0550725948945222,0.0549387331070755,0.0544127185063209,0.0541386452634853,0.0536814259954841,0.0541475572013027,0.057174067388757
